Z:\bh-microscopy\Hamamatsu-S210-000231\pdx_service; JAX\ratame; 06/13/2022 10:59:04; JAX\microscopy:ReadAndExecute, Synchronize. JAX\pdx-service:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\chang_lab; JAX\ratame; 06/13/2022 10:53:26; JAX\microscopy:ReadAndExecute, Synchronize. JAX\chang-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\grs_service; JAX\ratame; 06/13/2022 11:01:35; JAX\microscopy:ReadAndExecute, Synchronize. JAX\grs-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\ted_service; JAX\ratame; 06/13/2022 10:59:36; JAX\microscopy:ReadAndExecute, Synchronize. JAX\TED:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\histology_service; JAX\ratame; 06/13/2022 11:01:51; JAX\microscopy:ReadAndExecute, Synchronize. JAX\histology-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\shultz_lab; JAX\ratame; 06/13/2022 10:59:35; JAX\microscopy:ReadAndExecute, Synchronize. JAX\shultz-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\cs_service; JAX\ratame; 06/13/2022 10:55:07; JAX\microscopy:ReadAndExecute, Synchronize. JAX\compsci:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\murray_lab; JAX\ratame; 06/13/2022 10:59:02; JAX\microscopy:ReadAndExecute, Synchronize. JAX\murray-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\bolcun-filas_lab; JAX\ratame; 06/13/2022 10:53:22; JAX\Bolcun-Filas-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
Z:\bh-microscopy\Hamamatsu-S210-000231\nishina_lab; JAX\ratame; 06/13/2022 11:02:24; JAX\microscopy:ReadAndExecute, Synchronize. JAX\nishina-lab:Modify, Synchronize. JAX\microscopy:Modify, Synchronize. JAX\SHR-BH-Microscopy-RO:Modify, Synchronize. JAX\adm-myfilesadmins:FullControl. JAX\SHR-BH-Microscopy-MOD:Modify, Synchronize. JAX\ADM-Microscopy-Archive:FullControl
